"","timestep","V2","V3","V4"
"149",149,0.239404864969894,0.228645729145829,0.251325132513251
"150",150,0.240213214970393,0.230246049209842,0.2464
"151",151,0.241690364331112,0.231946389277856,0.2513
"152",152,0.242340517691785,0.229745949189838,0.2489
"153",153,0.241332073500362,0.236147229445889,0.246824682468247
"154",154,0.242623836848698,0.234546909381876,0.252025202520252
"155",155,0.24217369431844,0.233146629325865,0.2511
"156",156,0.242357223514528,0.236270881264379,0.25022502250225
"157",157,0.24390728687804,0.233846769353871,0.250925092509251
"158",158,0.244265766893707,0.235647129425885,0.256125612561256
"159",159,0.244624207753129,0.233346669333867,0.253825382538254
"160",160,0.245124157747463,0.237747549509902,0.254
"161",161,0.245716002781636,0.239247849569914,0.251825182518252
"162",162,0.246691054445967,0.239747949589918,0.254725472547255
"163",163,0.247424542814809,0.240548109621924,0.256225622562256
"164",164,0.248032879477475,0.238547709541908,0.258625862586259
"165",165,0.248174660342233,0.23994798959792,0.258125812581258
"166",166,0.249041412030572,0.240548109621924,0.259125912591259
"167",167,0.250487479983286,0.243448689737948,0.259125912591259
"168",168,0.249895665772691,0.242048409681936,0.260726072607261
"169",169,0.250554119124026,0.24494898979796,0.260726072607261
"170",170,0.250437394947941,0.243373011903571,0.260626062606261
"171",171,0.250604216684298,0.244448889777956,0.254125412541254
"172",172,0.252804536741978,0.245149029805961,0.260826082608261
"173",173,0.252054315019629,0.245649129825965,0.263726372637264
"174",174,0.252931620707794,0.247249449889978,0.264026402640264
"175",175,0.252990150774982,0.240948189637928,0.263626362636264
"176",176,0.253815184931892,0.244548909781956,0.262826282628263
"177",177,0.255065402494493,0.244248849769954,0.263126312631263
"178",178,0.255290363293897,0.243548709741948,0.263178953686106
"179",179,0.254590174930391,0.24254850970194,0.2607
"180",180,0.255865588371255,0.250150030006001,0.263779133740122
"181",181,0.256657231680746,0.249349869973995,0.264326432643264
"182",182,0.257334527787662,0.247849569913983,0.268326832683268
"183",183,0.25622605692974,0.24874974994999,0.262026202620262
"184",184,0.258534702823671,0.251675502650795,0.269426942694269
"185",185,0.257692910295246,0.24874974994999,0.268226822682268
"186",186,0.258943102845176,0.253025302530253,0.266026602660266
"187",187,0.258834726156503,0.2514,0.265826582658266
"188",188,0.259576546211353,0.25125025005001,0.267180154046214
"189",189,0.259434669485169,0.248374512353706,0.2667
"190",190,0.259403776911576,0.250950190038008,0.26517955386616
"191",191,0.26098718107132,0.251375412623787,0.267126712671267
"192",192,0.261587178579912,0.249649929985997,0.271427142714271
"193",193,0.260537026020969,0.252950590118024,0.27012701270127
"194",194,0.262262394455836,0.253776132839852,0.26962696269627
"195",195,0.261620620259744,0.251775532659798,0.272927292729273
"196",196,0.262537387773994,0.257851570314063,0.270627062706271
"197",197,0.263429317876864,0.256551310262052,0.272027202720272
"198",198,0.263737637847517,0.259077723316995,0.276527652765277
"199",199,0.263896120422463,0.253350670134027,0.272427242724272
"200",200,0.264456807386805,0.258525852585259,0.273882164649395
"201",201,0.264114871447686,0.25875175035007,0.273427342734273
"202",202,0.266300868065791,0.259277783335001,0.274154830966193
"203",203,0.265742545599058,0.261978593578073,0.270727072707271
"204",204,0.265267390548206,0.260978293488046,0.2716
"205",205,0.265684183091639,0.260278083425028,0.2724
"206",206,0.266634263117314,0.26147844353306,0.2731
"207",207,0.268092957381928,0.263526352635264,0.274027402740274
"208",208,0.266244744966651,0.26037811343403,0.274454890978196
"209",209,0.267803475928445,0.261026102610261,0.27755551110222
"210",210,0.268539256713876,0.26147844353306,0.277655531106221
