sim,gam_blood_meal_rates,gam_foraging_time ,gam_Q0,gam_phiB,gam_phiI,gam_mum,fun_blood_meal_rates,fun_foraging_time ,fun_Q0,fun_phiB,fun_phiI,fun_mum,gam_dn0,gam_rn,gam_gamman,fun_dn0,fun_rn,fun_gamman
51,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
52,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
53,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
54,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
55,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
56,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
57,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
58,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
59,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
60,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
61,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
62,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
63,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
64,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
65,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
66,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
67,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
68,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
69,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
70,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
71,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
72,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
73,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
74,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
75,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
76,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
77,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
78,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
79,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
80,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
81,0.33,0.69,0.98,0.92,0.97,0.132,0.33,0.69,0.98,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
