"","timestep","net_use","prev_6m_10y"
"305",305,0,0.31714126186488
"306",306,0,0.317686504610226
"307",307,0,0.317686504610226
"308",308,0,0.316186748672072
"309",309,0,0.316010058675608
"310",310,0,0.314158056408824
"311",311,0,0.318524727577536
"312",312,0,0.318143695834498
"313",313,0,0.316392069254398
"314",314,0,0.31398269606475
"315",315,0,0.31342450460508
"316",316,0,0.313791178112786
"317",317,0,0.316685267857143
"318",318,0,0.313145408875244
"319",319,0,0.315466219988833
"320",320,0,0.316303740926856
"321",321,0,0.317801339285714
"322",322,0,0.315481171548117
"323",323,0,0.316685267857143
"324",324,0,0.316875871687587
"325",325,0,0.318549511854951
"326",326,0,0.321617852161785
"327",327,0,0.320412716118238
"328",328,0,0.318739542665923
"329",329,0,0.319944211994421
"330",330,0,0.316508644729504
"331",331,0,0.315408191696851
"332",332,0,0.316141622525788
"333",333,0,0.314102564102564
"334",334,0,0.314277746793084
"335",335,0,0.316522708275286
"336",336,0,0.310392867093898
"337",337,0,0.31438127090301
"338",338,0,0.30891364902507
"339",339,0,0.310863509749304
"340",340,0,0.308077994428969
"341",341,0,0.310027855153203
"342",342,0,0.306128133704735
"343",343,0,0.306662949540006
"344",344,0,0.301839464882943
"345",345,0,0.304432673543351
"346",346,0,0.305656171635553
"347",347,0,0.303511705685619
"348",348,0,0.303875104544187
"349",349,0,0.30816383393703
"350",350,0,0.310392867093898
"351",351,0,0.306748466257669
"352",352,0,0.308421639709983
"353",353,0,0.306834030683403
"354",354,0,0.30859375
"355",355,0,0.307198660714286
"356",356,0,0.309430803571429
"357",357,0,0.308486878838638
"358",358,0,0.309517164387385
"359",359,0,0.308014521083496
"360",360,0,0.305974316024567
"361",361,0,0.308852275900586
"362",362,0,0.3077352694778
"363",363,0,0.304189944134078
"364",364,0,0.312569832402235
"365",365,0,0.310980720871752
"366",366,0,0.312831982107912
"367",367,0,0.313111545988258
"368",368,0,0.314317673378076
"369",369,0,0.312744550027949
"370",370,0,0.309756779424098
"371",371,0,0.31349538977368
"372",372,0,0.310055865921788
"373",373,0,0.312761798380341
"374",374,0,0.30941077911198
"375",375,0,0.311365540351857
"376",376,0,0.308100558659218
"377",377,0,0.308121685738208
"378",378,0,0.308766052484645
"379",379,0,0.30857302429489
"380",380,0,0.309497206703911
"381",381,0,0.310893854748603
"382",382,0,0.308831749580771
"383",383,0,0.309583682592903
"384",384,0,0.308293772689193
"385",385,0,0.308766052484645
"386",386,0,0.309497206703911
"387",387,0,0.30857302429489
"388",388,0,0.304833752444817
"389",389,0,0.305027932960894
"390",390,0,0.304020100502513
"391",391,0,0.305888919899526
"392",392,0,0.305222005026529
"393",393,0,0.305888919899526
"394",394,0,0.305803571428571
"395",395,0,0.305888919899526
"396",396,0,0.307670850767085
"397",397,0,0.310181311018131
"398",398,0,0.306834030683403
"399",399,0,0.309709821428571
"400",400,0,0.308228730822873
"401",401,0,0.30859375
"402",402,0,0.309430803571429
"403",403,0,0.312220982142857
"404",404,0,0.307005302818867
"405",405,0,0.308035714285714
"406",406,0,0.306748466257669
"407",407,0,0.307027328499721
"408",408,0,0.305377542490945
"409",409,0,0.305934800780162
"410",410,0,0.306406685236769
"411",411,0,0.302979671400724
